,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,target,song_title,artist,artist rank,play.count,play.count.th
68,0.0314,0.86,304138,0.857,0.38,6,0.0694,-4.23,1,0.0933,121.999,4,0.826,1,5thep,Todd Osborn,1,83400,83.4
69,0.123,0.749,258773,0.855,0.164,1,0.329,-10.105,1,0.406,128.339,4,0.61,1,Whatcha Gonna Do,Koopsta Knicca,1,84517,84.517
70,0.253,0.743,237588,0.886,0.00267,8,0.714,-3.503,0,0.0831,109.961,4,0.397,0,Black Out,PALGOU,1,86092,86.092
113,0.0989,0.483,263979,0.747,0.000409,5,0.24,-4.363,1,0.0549,80.117,4,0.223,0,Monster,PALGOU,1,167509,167.509
71,0.0221,0.606,234987,0.668,1.65E-05,5,0.0527,-9.168,0,0.0729,158.859,4,0.958,1,Dadje Von O Von Non,Gnonnas PМ©dro,1,86129,86.129
72,0.00207,0.931,255844,0.606,0.461,1,0.092,-8.366,1,0.269,94.018,4,0.865,1,Purp Walk,Lunice,1,87897,87.897
73,0.00069,0.759,398615,0.764,0.719,10,0.116,-7.416,0,0.0446,117.996,4,0.315,1,This Time Around,Softwar,1,88586,88.586
74,1.45E-05,0.263,275719,0.896,0.876,6,0.363,-8.048,1,0.11,113.106,4,0.251,0,"I, the Weak",The Voynich Code,1,89186,89.186
75,0.00776,0.898,429897,0.5,0.292,1,0.0771,-11.089,1,0.0571,122.281,4,0.868,1,I Need You Tonight,Punkin Machine,1,89745,89.745
77,0.00524,0.81,418187,0.547,0.854,10,0.101,-12.295,0,0.0558,120.752,4,0.817,1,Face It,Master C & J,1,93202,93.202
78,0.0336,0.89,129187,0.891,0,2,0.097,-5.542,1,0.0483,119.993,4,0.947,0,My Favorite Snack,Imagination Movers,1,93602,93.602
79,0.00125,0.217,255725,0.98,0.00139,5,0.287,-3.332,1,0.133,139.024,4,0.0658,0,Plagues,The End At The Beginning,1,94166,94.166
80,0.212,0.723,322050,0.687,5.83E-05,11,0.137,-7.019,0,0.0373,95.237,4,0.867,1,"Glyde 2nyte (feat. Leon Sylvers III, Leon Sylvers IV)",DМўm-Funk,1,96660,96.66
308,0.203,0.791,286213,0.916,0,2,0.0924,-2.009,1,0.178,103.709,4,0.62,1,Hood Pass Intact feat. MC Eiht,DМўm-Funk,1,893262,893.262
313,0.0739,0.833,301240,0.663,0.00351,2,0.0814,-3.639,1,0.105,103.693,4,0.457,1,Hood Pass Intact,DМўm-Funk,1,902043,902.043
81,0.00236,0.733,232375,0.87,0.00102,0,0.327,-6.199,1,0.0624,118.449,4,0.657,1,Freak Connection - Edit,Cerrone,1,98998,98.998
316,0.000173,0.641,262000,0.954,0.425,5,0.0535,-6.765,0,0.0589,122.79,4,0.827,1,Supernature - Edit,Cerrone,1,908451,908.451
82,0.00204,0.805,285015,0.879,0.595,6,0.0578,-5.747,1,0.0521,123.013,4,0.713,1,Don't Miss,The Alexanders,1,99073,99.073
83,0.0645,0.824,180107,0.883,0.0707,0,0.409,-2.715,1,0.108,127.989,4,0.846,1,It's You,Duck Sauce,1,100125,100.125
220,0.0414,0.774,269867,0.901,4.84E-06,9,0.873,-5.398,0,0.216,128.024,4,0.768,1,Goody Two Shoes,Duck Sauce,1,494076,494.076
84,0.519,0.567,160133,0.436,0,2,0.247,-9.45,1,0.158,97.206,4,0.598,0,Mosquito Burrito,Roger Day,1,103097,103.097
85,0.00922,0.453,388463,0.678,5.11E-05,9,0.0477,-7.291,0,0.0494,131.936,4,0.0827,0,‘_Ы‘»ЙShame,DyoN Joo,1,103172,103.172
86,0.0805,0.766,319360,0.602,0.765,0,0.0889,-8.388,0,0.0273,100.042,4,0.378,0,ђбЫђЎЫReturn Home,“_«“_Ў“_©“__The CowChips,1,104150,104.15
87,0.284,0.672,212288,0.709,0.000608,1,0.083,-7.884,1,0.0232,98.972,4,0.652,0,Anyone Can Fall In Love,Anita Dobson,1,104539,104.539
89,0.000997,0.787,484853,0.916,0.811,0,0.0588,-8.542,0,0.047,116.007,4,0.507,1,I Got a Feeling,Shit Robot,1,109803,109.803
90,0.913,0.152,275653,0.0626,0.00204,5,0.142,-20.947,1,0.0395,137.174,5,0.0484,0,"Trio Sonata in G Major, Wq. 144: I. Adagio",Carl Philipp Emanuel Bach,1,111426,111.426
91,3.28E-05,0.401,194000,0.921,0.753,6,0.359,-3.287,0,0.0781,102.035,4,0.372,0,Bastard Son,God Of Nothing,1,117384,117.384
92,0.991,0.295,784013,0.0918,0.884,0,0.114,-22.769,0,0.0385,98.939,4,0.119,0,Viola Sonata in C Minor: III. Andante con variazioni,Felix Mendelssohn,1,118714,118.714
94,0.0398,0.674,313147,0.501,0.000123,2,0.0818,-12.907,0,0.0579,107.363,4,0.567,1,Heaven And Hell Is On Earth,20th Century Steel Band,1,123858,123.858
95,0.0086,0.246,237947,0.843,0.241,4,0.137,-10.022,1,0.0396,80.047,4,0.681,1,Didn't You,Cloud Nothings,1,124308,124.308
96,0.52,0.582,212602,0.903,0.779,0,0.243,-4.505,1,0.0335,119.457,4,0.902,1,Chicken Half,Sugarman Three,1,129868,129.868
97,0.003,0.754,281658,0.968,0.795,9,0.194,-4.419,1,0.168,124.971,4,0.55,1,Operator (Ring Ring) ft. Dances With White Girls,Chris Lake,1,134370,134.37
439,0.024,0.691,381732,0.951,0.0412,0,0.0316,-4.989,1,0.0879,126.989,4,0.617,0,La Tromba Risin' (feat. Tasita D'Mour),Chris Lake,3,1757404,1757.404
967,0.00433,0.775,248007,0.883,0.346,11,0.057,-5.83,0,0.0703,125.006,4,0.682,0,I Want You,Chris Lake,3,11864824,11864.824
98,0.286,0.616,236960,0.387,0,9,0.277,-6.079,0,0.0335,81.856,4,0.47,0,All in Vain,Mot,1,137578,137.578
203,0.858,0.679,257187,0.126,0.000102,11,0.114,-10.562,0,0.0369,129.75,3,0.114,0,Let You Go,Mot,1,447361,447.361
99,8.34E-05,0.72,255135,0.748,0,5,0.11,-7.607,1,0.447,182.064,4,0.555,1,8 Feet Tall,Problem,1,139183,139.183
103,0.00116,0.669,211042,0.765,0,8,0.312,-7.885,1,0.051,131.946,4,0.163,1,MDA,Problem,1,145948,145.948
100,0.00152,0.626,299383,0.888,0.0551,9,0.243,-4.981,0,0.0461,126.976,4,0.728,1,Fascism,Sam Sparro,1,140520,140.52
102,0.132,0.658,243493,0.781,0,9,0.0877,-8.759,1,0.124,168.883,4,0.929,0,Das Lied Der Schluempfe,Vader Abraham,1,145724,145.724
104,0.201,0.696,398747,0.852,0.00125,4,0.0736,-4.281,0,0.0373,128.28,4,0.971,1,Let's Lovedance Tonight - Danny Krivit Re-edit - Original Disco Version,Gary's Gang,1,146956,146.956
271,0.0115,0.82,349720,0.616,0.445,4,0.082,-8.427,0,0.0361,127.86,4,0.972,1,Let's Lovedance Tonight - Danny Krivit Re-edit - Dk Re-Edit,Gary's Gang,1,699201,699.201
105,0.0381,0.709,176589,0.797,0,0,0.143,-4.316,1,0.335,139.639,4,0.474,1,Fam,Saskilla,1,155211,155.211
106,0.155,0.822,156879,0.863,0.000632,7,0.0913,-8.035,1,0.196,100.959,4,0.608,1,We Out Here,Ezale,1,155487,155.487
121,0.00134,0.789,162815,0.682,1.39E-06,10,0.128,-6.841,0,0.054,109.988,4,0.562,1,We Want Some Pussy,Ezale,1,192050,192.05
275,0.00158,0.857,134062,0.831,0,2,0.154,-4.664,1,0.0995,106.059,4,0.251,1,I Ain't Trippin off Nothin,Ezale,1,743250,743.25
107,0.269,0.663,361173,0.602,8.81E-05,9,0.118,-11.013,1,0.132,149.51,4,0.899,1,Smoke,Ohio Players,1,157061,157.061
108,0.717,0.285,163213,0.512,0,7,0.0842,-8.103,1,0.0334,94.922,4,0.48,1,Just Say The Word,Jerry Townes,1,157065,157.065
109,4.00E-04,0.804,434958,0.64,0.935,5,0.0812,-8.598,1,0.0404,124.007,4,0.0451,1,Let Me Tell U,Jimmy Edgar,1,158502,158.502
110,0.0572,0.525,358187,0.855,0.0143,5,0.649,-7.372,0,0.0548,111.951,3,0.524,1,Subways - In Flagranti Extended Edit,The Avalanches,1,161044,161.044
1044,0.118,0.704,288347,0.894,0.000115,6,0.386,-7.415,1,0.243,98.946,4,0.408,1,Frontier Psychiatrist,The Avalanches,3,15120917,15120.917
111,0.0452,0.752,150053,0.783,0,9,0.194,-7.507,1,0.151,159.912,4,0.611,1,Gucci On The Rise,Gucci Mane,2,164475,164.475
613,0.116,0.762,204293,0.883,0,0,0.3,-4.397,1,0.18,140.974,4,0.781,1,Young N*****,Gucci Mane,2,3749843,3749.843
112,0.000195,0.122,377177,0.913,0.713,11,0.269,-5.815,0,0.0499,185.906,4,0.0957,1,Bumpy Road,Destruction Unit,1,165483,165.483
114,0.661,0.457,176613,0.909,1.54E-06,7,0.124,-3.189,1,0.0576,93.193,4,0.844,1,"Bold Soul Sister, Bold Soul Brother - USDEA0400901",The Black On White Affair,1,169796,169.796
115,0.721,0.366,191009,0.363,0.000636,3,0.154,-9.768,1,0.0288,132.758,4,0.262,0,Every Loser Wins,Nick Berry,1,173768,173.768
116,5.32E-05,0.458,184482,0.957,8.97E-05,0,0.364,-6.16,1,0.107,120.006,4,0.154,0,Debris,Paragon,1,180333,180.333
117,0.953,0.156,458000,0.023,0.338,10,0.165,-31.082,1,0.0445,140.715,4,0.0588,0,"Piano Quartet in E flat, Op.47: 3. Andante cantabile",Robert Schumann,1,182707,182.707
157,0.995,0.333,221173,0.0288,0.819,1,0.073,-31.367,1,0.0423,100.189,3,0.0857,0,"8 FantasiestМ_cke, Op.12 : 1. Des Abends",Robert Schumann,1,281994,281.994
118,0.391,0.799,157068,0.657,3.16E-06,3,0.0763,-5.293,1,0.0377,141.655,4,0.956,1,I'll Do a Little Bit More,The Olympics,1,183654,183.654
119,0.00479,0.777,318470,0.671,0.0244,11,0.286,-7.803,0,0.0386,123.974,4,0.482,1,Defected In The House Ibiza 2013 Mixtape,Simon Dunmore,1,189472,189.472
120,0.719,0.836,204827,0.395,1.40E-05,3,0.0694,-12.015,1,0.0336,104.058,3,0.575,0,Grandad,Clive Dunn,1,189499,189.499
122,0.00176,0.819,231747,0.777,0.0931,8,0.0627,-7.734,0,0.0614,104.651,4,0.769,1,See Me Now,Cassius,1,192174,192.174
123,1.65E-05,0.499,395200,0.506,0.941,9,0.0784,-16.778,0,0.149,186.328,3,0.367,1,Remember,Gino Soccio,1,194144,194.144
124,4.55E-05,0.162,200961,0.957,0.867,10,0.669,-6.229,0,0.147,96.822,5,0.119,0,Be My Valentine (feat. Dickie Allen),Brojob,1,195526,195.526
125,5.40E-05,0.455,210426,0.973,0.00193,1,0.365,-4.597,0,0.132,102.076,4,0.448,0,Solicitude,Belie My Burial,1,198262,198.262
126,0.00159,0.865,250273,0.603,0.428,3,0.0782,-11.289,1,0.0532,135.006,4,0.595,1,Stripper,Fancy Fux,1,200992,200.992
127,0.00275,0.476,195200,0.818,0.757,2,0.279,-7.933,1,0.0318,159.089,4,0.745,1,New York City,Christopher Owens,1,205427,205.427
128,0.461,0.873,127227,0.511,1.22E-06,2,0.0655,-12.303,1,0.0368,127.93,4,0.972,0,Jelly On A Plate,The Kids Band,1,207766,207.766
309,0.826,0.876,51547,0.301,0,0,0.419,-7.866,1,0.0436,69.009,4,0.932,0,Peas Pudding Hot,The Kids Band,1,895681,895.681
129,0.138,0.768,224009,0.743,0.00128,0,0.142,-6.09,1,0.0455,89.983,4,0.692,0,Night Time Melody,Rude Paper,1,207977,207.977
130,1.20E-05,0.484,328000,0.98,0.188,0,0.779,-1.939,1,0.075,119.997,4,0.165,0,New World Slaughter,Iconoclast,1,209515,209.515
131,0.951,0.173,649415,0.0619,0.526,5,0.132,-20.788,1,0.0466,72.695,4,0.0886,0,"String Quintet in C Major, Op. 29: II. Adagio molto espressivo",Ludwig van Beethoven,1,210181,210.181
132,0.000725,0.801,315001,0.718,0.91,0,0.0747,-6.246,1,0.0746,123.999,4,0.817,1,Vowel Play - Original,Them Jeans,1,210761,210.761
133,0.00634,0.637,195167,0.507,0,6,0.386,-9.59,0,0.0283,105.932,4,0.566,0,Strong Enough,Kina Grannis,3,211366,211.366
302,0.226,0.546,231240,0.522,0,4,0.129,-7.113,1,0.0361,117.299,4,0.494,0,Without Me,Kina Grannis,3,848868,848.868
340,0.167,0.631,253107,0.591,0,11,0.0812,-7.669,1,0.0333,137.917,4,0.459,0,Gone,Kina Grannis,3,1066611,1066.611
524,0.436,0.696,157187,0.439,0,7,0.353,-9.438,1,0.07,135.925,4,0.686,0,The One You Say Goodnight To,Kina Grannis,3,2612389,2612.389
560,0.904,0.513,193917,0.274,9.27E-06,0,0.1,-13.577,1,0.0289,129.834,4,0.381,0,When Will I Learn,Kina Grannis,3,3102787,3102.787
773,0.474,0.672,184960,0.396,0,2,0.0921,-9.489,0,0.0349,130.015,4,0.464,0,In Your Arms,Kina Grannis,3,6367401,6367.401
966,0.292,0.862,150707,0.351,0,9,0.105,-11.793,1,0.0439,124.964,4,0.504,0,Valentine,Kina Grannis,3,11854115,11854.115
134,0.0184,0.845,415371,0.59,0.00581,0,0.084,-8.225,1,0.0538,126.024,4,0.346,1,Principles,Benoit & Sergio,1,211770,211.77
135,0.0507,0.597,183798,0.746,0.000198,11,0.493,-7.991,0,0.542,172.215,4,0.891,1,86 Carrot Gold,Teams vs. Star Slinger,1,220940,220.94
247,0.00947,0.718,171933,0.844,0.711,8,0.122,-8.045,1,0.0581,94.988,4,0.54,1,The Yes Strut,Teams vs. Star Slinger,1,607602,607.602
258,0.738,0.698,101039,0.923,8.21E-06,1,0.296,-5.382,0,0.316,95.009,4,0.779,1,Close to Me,Teams vs. Star Slinger,1,649643,649.643
310,0.185,0.731,207496,0.812,0.154,5,0.131,-6.691,1,0.0608,91.96,4,0.861,1,Say Please,Teams vs. Star Slinger,1,896056,896.056
364,0.126,0.579,212227,0.767,3.28E-05,9,0.384,-3.713,1,0.078,144.001,4,0.67,1,Punch Drunk Love,Teams vs. Star Slinger,1,1231409,1231.409
136,0.0039,0.567,176893,0.876,0,9,0.531,-4.573,0,0.0376,114.902,4,0.697,1,Wild Window,Fool's Gold,1,226748,226.748
375,0.0192,0.619,275533,0.734,0.263,5,0.0771,-9.366,0,0.0343,106.034,4,0.853,1,I'm In Love,Fool's Gold,1,1336834,1336.834
